MRPL3	ENSGALG00000040873.2
LOC116956497	ENSGALG00000013304.5
LOC116957620	ENSGALG00000038879.2
UFM1	ENSGALG00000017042.5
IQGAP1	ENSGALG00000030162.1
PTS	ENSGALG00000007848.5
LOC116954690	ENSGALG00000008629.5
ECPAS	ENSGALG00000015689.5
LOC116944402	ENSGALG00000006561.4
LOC116945562	ENSGALG00000005415.5
MRPL1	ENSGALG00000010324.6
LOC116951139	ENSGALG00000034970.1
TBC1D19	ENSGALG00000029673.2
MRPL39	ENSGALG00000015742.6
LOC116956137	ENSGALG00000005251.4
ASRGL1	ENSGALG00000015949.5
SZT2	ENSGALG00000028561.2
DHPS	ENSGALG00000040259.1
LOC116948574	ENSGALG00000029367.2
SPTAN1	ENSGALG00000004719.5
LGR5	ENSGALG00000040834.1
CDV3	ENSGALG00000032316.1
LOC116954883	ENSGALG00000041641.1
MDH1	ENSGALG00000008858.6
LOC116956930	ENSGALG00000010125.5
LOC116939791	ENSGALG00000007970.5
LOC116956913	ENSGALG00000032398.1
SDS	ENSGALG00000035219.1
LOC116957725	ENSGALG00000017380.5
RHOT1	ENSGALG00000003397.6
MBOAT7	ENSGALG00000030640.1
LOC116951594	ENSGALG00000016506.5
LOC116946680	ENSGALG00000036490.1
LOC116947434	ENSGALG00000036883.2
LOC116947466	ENSGALG00000019171.4
BBS10	ENSGALG00000033769.1
MRPL12	ENSGALG00000045753.1
C45H5orf22	ENSGALG00000012909.5
TEX9	ENSGALG00000042476.1
RHO	ENSGALG00000020745.4
DHTKD1	ENSGALG00000003674.5
LOC116949580	ENSGALG00000029583.1
LOC116951130	ENSGALG00000005237.5
LOC116954509	ENSGALG00000005076.5
LOC116954464	ENSGALG00000004128.4
WDFY2	ENSGALG00000017019.4
LOC116947581	ENSGALG00000003923.4
LOC116948091	ENSGALG00000037407.2
LOC116950796	ENSGALG00000033618.1
OXT	ENSGALG00000014117.3
LOC116944423	ENSGALG00000016231.5
LOC116947885	ENSGALG00000010747.6
SLX4	ENSGALG00000031841.1
SUPT3H	ENSGALG00000016705.6
LYRM2	ENSGALG00000015762.5
GUCY1B1	ENSGALG00000009361.5
LOC116957425	ENSGALG00000006188.6
UBASH3B	ENSGALG00000006567.5
KCNRG	ENSGALG00000017012.5
MRPL27	ENSGALG00000038812.2
C63H16orf70	ENSGALG00000003183.5
OGT	ENSGALG00000005425.6
PAICS	ENSGALG00000013726.5
LCMT1	ENSGALG00000005973.4
MRPS35	ENSGALG00000036730.1
BTBD10	ENSGALG00000005369.5
WBP4	ENSGALG00000016949.3
THYN1	ENSGALG00000001529.5
LOC116938827	ENSGALG00000045621.1
GAL3ST1	ENSGALG00000007781.5
LOC116939217	ENSGALG00000004840.6
NUDT19	ENSGALG00000029498.2
LOC116953354	ENSGALG00000043372.2
WDR76	ENSGALG00000035465.1
ALG11	ENSGALG00000029242.1
LOC116956416	ENSGALG00000012160.5
LOC116937355	ENSGALG00000002403.5
RRM1	ENSGALG00000017350.6
LOC116951946	ENSGALG00000041622.1
LOC116952458	ENSGALG00000016971.4
UBE2S	ENSGALG00000036827.1
SELENOS	ENSGALG00000007162.5
LOC116938804	ENSGALG00000006939.5
CFAP410	ENSGALG00000006539.4
BBS9	ENSGALG00000031650.2
PCM1	ENSGALG00000013602.5
LOC116938407	ENSGALG00000034560.2
FDPS	ENSGALG00000028880.3
TIPIN	ENSGALG00000007649.4
LOC116939949	ENSGALG00000005353.5
LOC116952925	ENSGALG00000030710.1
KIAA0825	ENSGALG00000014664.6
ADAR	ENSGALG00000021475.4
BFSP1	ENSGALG00000008735.5
LOC116945250	ENSGALG00000004621.5
LOC116938645	ENSGALG00000012545.5
SESTD1	ENSGALG00000009031.6
LOC116950616	ENSGALG00000004435.5
YOD1	ENSGALG00000037597.1
LOC116950468	ENSGALG00000005256.5
NPHP4	ENSGALG00000000966.6
LOC116948458	ENSGALG00000010036.5
DNAJC9	ENSGALG00000002701.4
LOC116954239	ENSGALG00000040805.2
LOC116946117	ENSGALG00000006933.4
LOC116955251	ENSGALG00000006469.5
PUM3	ENSGALG00000010178.6
ZNF277	ENSGALG00000009454.5
TRIM2	ENSGALG00000009207.5
WDR24	ENSGALG00000002450.4
GTSE1	ENSGALG00000004897.5
LOC116950842	ENSGALG00000001096.4
LOC116950740	ENSGALG00000028063.2
LOC116951658	ENSGALG00000003362.5
LOC116949348	ENSGALG00000012998.5
LOC116955628	ENSGALG00000027198.2
LOC116957073	ENSGALG00000013720.4
ADAM17	ENSGALG00000016427.5
LOC116951956	ENSGALG00000027777.3
GUCA1A	ENSGALG00000031626.2
CRYM	ENSGALG00000002484.6
LOC116952069	ENSGALG00000007994.4
LOC116957598	ENSGALG00000015451.5
PGAP1	ENSGALG00000030789.1
FTCD	ENSGALG00000006131.3
LOC116955626	ENSGALG00000031010.1
LOC116955468	ENSGALG00000007128.5
PTPRQ	ENSGALG00000010935.6
ABCE1	ENSGALG00000009961.6
PARPBP	ENSGALG00000012756.6
LOC116957126	ENSGALG00000015193.6
MBOAT4	ENSGALG00000011454.3
UFD1	ENSGALG00000001593.6
LOC116957869	ENSGALG00000006925.5
LOC116957908	ENSGALG00000015237.5
NDUFS8	ENSGALG00000040173.1
LOC116943148	ENSGALG00000010551.5
SAE1	ENSGALG00000037486.1
LOC116945641	ENSGALG00000028046.3
SLC10A7	ENSGALG00000010006.5
GTPBP8	ENSGALG00000015190.5
LOC116953917	ENSGALG00000010277.5
SSB	ENSGALG00000009677.5
USP48	ENSGALG00000030857.1
OTUD3	ENSGALG00000043920.1
SCCPDH	ENSGALG00000010641.6
GRIK2	ENSGALG00000015434.5
LOC116940611	ENSGALG00000014975.6
ADD1	ENSGALG00000015664.6
LOC116939472	ENSGALG00000008725.5
LOC116941568	ENSGALG00000015181.6
LOC116941613	ENSGALG00000038316.1
LOC116956754	ENSGALG00000016815.6
LOC116940531	ENSGALG00000024085.4
FBN2	ENSGALG00000037625.2
PGAP4	ENSGALG00000015545.6
LOC116937425	ENSGALG00000000848.5
LOC116937458	ENSGALG00000015830.6
AGTPBP1	ENSGALG00000012595.5
FST	ENSGALG00000014908.4
LOC116947615	ENSGALG00000009805.5
LOC116938595	ENSGALG00000042443.1
LOC116939679	ENSGALG00000011005.4
RAB21	ENSGALG00000010183.5
LOC116958258	ENSGALG00000008475.4
HSPD1	ENSGALG00000008094.5
MOGS	ENSGALG00000041152.1
LOC116937044	ENSGALG00000039448.2
LOC116944445	ENSGALG00000006175.5
LOC116947257	ENSGALG00000011138.2
LOC116958542	ENSGALG00000027963.2
LOC116957888	ENSGALG00000017266.4
TP53BP1	ENSGALG00000042201.2
LOC116943837	ENSGALG00000029677.2
TMEM209	ENSGALG00000008036.6
LOC116942534	ENSGALG00000031035.2
FLNA	ENSGALG00000005678.6
CERS2	ENSGALG00000043352.2
RPL37A	ENSGALG00000011472.5
HMGCL	ENSGALG00000004057.6
NR2C2	ENSGALG00000008519.5
LOC116950104	ENSGALG00000026077.2
METTL16	ENSGALG00000014901.4
MMAB	ENSGALG00000029947.1
ACOT7	ENSGALG00000000652.6
LOC116947213	ENSGALG00000002197.6
LOC116953131	ENSGALG00000041327.1
NCAPH	ENSGALG00000032270.1
LOC116948495	ENSGALG00000010182.6
ADARB1	ENSGALG00000007527.6
LOC116938853	ENSGALG00000017485.5
TMEM135	ENSGALG00000041546.1
BRCA1	ENSGALG00000002781.4
RAB18	ENSGALG00000007435.5
ECSIT	ENSGALG00000043823.1
SLC66A3	ENSGALG00000016449.5
LOC116951384	ENSGALG00000014910.5
GPR161	ENSGALG00000015247.5
LOC116939264	ENSGALG00000002053.4
MOCS3	ENSGALG00000007986.2
LOC116954097	ENSGALG00000044404.1
SDCCAG8	ENSGALG00000010713.5
DGKQ	ENSGALG00000002142.5
LSM1	ENSGALG00000003245.5
CTDP1	ENSGALG00000031461.1
MCAT	ENSGALG00000034275.2
LOC116956389	ENSGALG00000000142.5
LOC116958436	ENSGALG00000037709.2
BRIX1	ENSGALG00000003373.2
LOC116942033	ENSGALG00000028851.3
LOC116954038	ENSGALG00000013757.6
LOC116956058	ENSGALG00000029235.1
LOC116941743	ENSGALG00000014938.5
LOC116949701	ENSGALG00000012112.5
DUSP23	ENSGALG00000005248.5
NUP42	ENSGALG00000010942.6
LOC116947640	ENSGALG00000034119.1
LOC116954120	ENSGALG00000021362.4
SSNA1	ENSGALG00000039186.2
NPY2R	ENSGALG00000009280.4
LOC116945273	ENSGALG00000030097.1
AK2	ENSGALG00000003597.5
RAB11FIP4	ENSGALG00000003227.4
SLC9A6	ENSGALG00000006180.5
AGTRAP	ENSGALG00000004623.4
TMEM100	ENSGALG00000026465.2
LOC116950845	ENSGALG00000029140.2
LOC116950781	ENSGALG00000016943.5
LOC116940554	ENSGALG00000007820.5
VWA2	ENSGALG00000008980.6
MNT	ENSGALG00000005830.4
NOL8	ENSGALG00000004750.5
IPO5	ENSGALG00000032430.1
SH3YL1	ENSGALG00000016362.6
ACYP2	ENSGALG00000027632.2
BLM	ENSGALG00000008256.5
LOC116951348	ENSGALG00000016464.4
EPDR1	ENSGALG00000042063.1
NRDC	ENSGALG00000010565.6
NYX	ENSGALG00000016228.5
SNX13	ENSGALG00000010840.5
FGGY	ENSGALG00000010879.6
GYG1	ENSGALG00000035535.1
LOC116940754	ENSGALG00000025921.2
ADGRD2	ENSGALG00000001094.4
FUT11	ENSGALG00000005169.3
LOC116944795	ENSGALG00000004323.5
ZBTB8OS	ENSGALG00000003517.6
L3HYPDH	ENSGALG00000012011.6
GALNT2	ENSGALG00000011106.4
MUSTN1	ENSGALG00000001709.5
TRMT5	ENSGALG00000011904.5
EXOSC5	ENSGALG00000038101.2
TBC1D24	ENSGALG00000009217.5
LOC116955349	ENSGALG00000016144.5
LOC116949664	ENSGALG00000027786.3
LOC116938725	ENSGALG00000007712.5
ITPRID2	ENSGALG00000008903.5
ARGLU1	ENSGALG00000016855.3
CHRM4	ENSGALG00000008365.4
SHISAL1	ENSGALG00000036598.2
NARS2	ENSGALG00000017262.6
ANKRD6	ENSGALG00000015768.5
LOC116953366	ENSGALG00000012300.5
LOC116955020	ENSGALG00000029034.3
LOC116956963	ENSGALG00000005226.5
LRRK1	ENSGALG00000007141.5
CASP9	ENSGALG00000001366.5
DDX17	ENSGALG00000037360.2
EIF2S2	ENSGALG00000033196.1
FBXL20	ENSGALG00000030175.2
SPRTN	ENSGALG00000011065.5
RARRES1	ENSGALG00000009594.5
LOC116945944	ENSGALG00000020895.4
ENY2	ENSGALG00000036618.2
SGSM3	ENSGALG00000012033.5
LOC116957170	ENSGALG00000015519.6
ZCRB1	ENSGALG00000009544.5
DIS3L	ENSGALG00000007643.6
ITFG1	ENSGALG00000004049.5
TRPT1	ENSGALG00000040723.1
ACACA	ENSGALG00000005439.5
LOC116949327	ENSGALG00000044019.1
MDM1	ENSGALG00000009905.5
PDGFC	ENSGALG00000009378.1
LOC116947795	ENSGALG00000028520.3
LOC116949417	ENSGALG00000009435.6
WDR82	ENSGALG00000025904.2
LOC116951285	ENSGALG00000046507.1
ISL1	ENSGALG00000014884.5
EMC7	ENSGALG00000009637.5
USH2A	ENSGALG00000009652.6
SLC18B1	ENSGALG00000019961.5
LOC116941038	ENSGALG00000011272.2
EMC2	ENSGALG00000040325.1
NUP93	ENSGALG00000003010.6
SLC25A17	ENSGALG00000012013.5
LOC116948520	ENSGALG00000008204.3
LOC116940547	ENSGALG00000007831.4
LOC116940585	ENSGALG00000009693.6
LOC116941336	ENSGALG00000027498.3
LOC116945643	ENSGALG00000014122.6
CAV1	ENSGALG00000043287.1
INTS13	ENSGALG00000014083.6
LOC116948982	ENSGALG00000014857.5
SLC8B1	ENSGALG00000008337.6
ARMT1	ENSGALG00000026322.2
LOC116940451	ENSGALG00000044620.1
EIF4E3	ENSGALG00000007780.5
C14H12orf45	ENSGALG00000012694.6
PITRM1	ENSGALG00000007036.4
LOC116953091	ENSGALG00000002699.5
LOC116937212	ENSGALG00000002311.5
MTREX	ENSGALG00000014709.5
ATP5PF	ENSGALG00000015751.6
MRPL2	ENSGALG00000008597.5
EIF3A	ENSGALG00000009328.6
NOX5	ENSGALG00000008063.6
UBFD1	ENSGALG00000006117.6
LOC116956533	ENSGALG00000042538.1
BTBD17	ENSGALG00000023359.3
LOC116958608	ENSGALG00000023760.4
KMT5A	ENSGALG00000003325.5
TTI1	ENSGALG00000006791.5
TBC1D14	ENSGALG00000015546.5
LOC116942942	ENSGALG00000014250.5
LOC116942971	ENSGALG00000023032.2
MPP7	ENSGALG00000008398.6
LOC116945622	ENSGALG00000006372.5
LOC116942696	ENSGALG00000029024.2
SPTLC2	ENSGALG00000031928.1
GPER1	ENSGALG00000004064.5
LOC116958362	ENSGALG00000017112.6
POLR3H	ENSGALG00000011947.6
CLCN7	ENSGALG00000030826.1
NT5C1A	ENSGALG00000003816.5
LOC116952774	ENSGALG00000011459.6
C65H12orf29	ENSGALG00000011168.6
LOC116937358	ENSGALG00000030808.2
HGD	ENSGALG00000014966.5
LOC116942540	ENSGALG00000005524.4
APAF1	ENSGALG00000011531.5
DNPEP	ENSGALG00000011318.6
TSPAN1	ENSGALG00000010343.6
EXOSC3	ENSGALG00000002426.5
KYNU	ENSGALG00000012418.5
EEF1AKMT2	ENSGALG00000034013.1
RPL5	ENSGALG00000005922.6
THOP1	ENSGALG00000041934.2
LOC116942418	ENSGALG00000004955.5
C37H1orf146	ENSGALG00000023490.3
VPS9D1	ENSGALG00000023468.3
TBRG4	ENSGALG00000038102.1
DUSP11	ENSGALG00000033014.1
LOC116947190	ENSGALG00000004607.5
FAM120B	ENSGALG00000011180.5
LOC116946169	ENSGALG00000011814.5
BFAR	ENSGALG00000003111.5
LOC116949296	ENSGALG00000044133.1
SRM	ENSGALG00000003039.5
TRPC1	ENSGALG00000002639.6
LOC116938684	ENSGALG00000044726.1
KEAP1	ENSGALG00000033123.2
RPL28	ENSGALG00000031038.2
SLC35A5	ENSGALG00000015197.4
RPL6	ENSGALG00000004818.6
LOC116941938	ENSGALG00000014751.5
LOC116950422	ENSGALG00000008485.5
TRMT10C	ENSGALG00000015328.5
SRFBP1	ENSGALG00000005316.5
LOC116957825	ENSGALG00000017075.5
PDE4DIP	ENSGALG00000036783.1
PAN2	ENSGALG00000031512.1
VAMP4	ENSGALG00000031381.2
GTF2B	ENSGALG00000006205.6
POLR2F	ENSGALG00000012291.5
HPGD	ENSGALG00000010769.5
ORC4	ENSGALG00000012448.6
CCDC112	ENSGALG00000045092.1
TAF1C	ENSGALG00000025868.2
TSEN15	ENSGALG00000004782.6
LOC116945014	ENSGALG00000005904.4
LOC116954020	ENSGALG00000011116.5
LOC116941398	ENSGALG00000038469.1
ENTPD4	ENSGALG00000000390.5
LOC116945298	ENSGALG00000014982.5
CEP55	ENSGALG00000006639.6
TRMT1L	ENSGALG00000033077.1
PPM1G	ENSGALG00000016513.6
LOC116953153	ENSGALG00000006106.5
ARFRP1	ENSGALG00000006101.5
KNL1	ENSGALG00000045185.1
LOC116940370	ENSGALG00000011573.5
PFAS	ENSGALG00000033643.1
SENP8	ENSGALG00000027050.2
LOC116958264	ENSGALG00000004189.5
ANAPC13	ENSGALG00000031312.1
RFC5	ENSGALG00000026517.3
POLB	ENSGALG00000040828.2
GLCE	ENSGALG00000028191.2
LOC116946088	ENSGALG00000040244.1
LOC116949737	ENSGALG00000028230.2
LOC116953516	ENSGALG00000027365.3
MPST	ENSGALG00000040840.2
CNOT9	ENSGALG00000011402.6
FMNL2	ENSGALG00000012525.5
SPCS2	ENSGALG00000019036.5
LOC116939533	ENSGALG00000020359.3
DTYMK	ENSGALG00000006305.6
HIGD2A	ENSGALG00000003348.5
LOC116954405	ENSGALG00000010370.5
YEATS4	ENSGALG00000029135.2
LOC116943529	ENSGALG00000024482.3
KLHL18	ENSGALG00000005582.6
TIMM9	ENSGALG00000031966.2
EXOSC10	ENSGALG00000003086.3
STYXL1	ENSGALG00000001963.6
ENKUR	ENSGALG00000007680.5
LOC116945628	ENSGALG00000012921.6
HEATR5B	ENSGALG00000010571.5
LOC116947861	ENSGALG00000011581.5
FANCD2	ENSGALG00000003720.5
LOC116947912	ENSGALG00000015315.5
LOC116938508	ENSGALG00000026989.3
SMARCC2	ENSGALG00000041592.1
UROC1	ENSGALG00000006306.5
RPN1	ENSGALG00000005907.6
ACOD1	ENSGALG00000016919.4
ANKH	ENSGALG00000012964.5
MED24	ENSGALG00000013506.4
GALNT15	ENSGALG00000013197.5
IKZF5	ENSGALG00000032289.1
LOC116953431	ENSGALG00000011663.5
RAE1	ENSGALG00000007653.5
LOC116950598	ENSGALG00000033513.2
RAB12	ENSGALG00000033608.1
LOC116953167	ENSGALG00000037031.1
MARS2	ENSGALG00000004019.5
LOC116938711	ENSGALG00000019690.5
TCAIM	ENSGALG00000011498.4
DDA1	ENSGALG00000037091.1
RIPOR1	ENSGALG00000030055.1
WNT10A	ENSGALG00000011355.5
ASS1	ENSGALG00000023689.3
LOC116955050	ENSGALG00000028484.2
PLK1	ENSGALG00000006110.6
ASCC1	ENSGALG00000026019.3
MFHAS1	ENSGALG00000011444.5
CDKN3	ENSGALG00000012220.5
PPP4R4	ENSGALG00000010950.5
SNRPD2	ENSGALG00000042282.1
NTPCR	ENSGALG00000011015.2
TSPEAR	ENSGALG00000005655.6
WDR47	ENSGALG00000002129.5
NUP107	ENSGALG00000009934.6
LOC116952143	ENSGALG00000042279.2
RPL24	ENSGALG00000015339.6
LOC116939892	ENSGALG00000010246.5
LOC116941979	ENSGALG00000003353.5
TMEM129	ENSGALG00000015710.4
LOC116940647	ENSGALG00000002904.5
UBL7	ENSGALG00000001394.6
FAM32A	ENSGALG00000036474.2
PDCD7	ENSGALG00000021027.4
LOC116951870	ENSGALG00000010147.5
SDHAF3	ENSGALG00000027620.3
CASC1	ENSGALG00000014030.6
LOC116947934	ENSGALG00000044199.1
ZEB2	ENSGALG00000040465.1
LOC116939785	ENSGALG00000011528.6
TAF13	ENSGALG00000015185.5
LOC116955957	ENSGALG00000014977.5
LOC116955894	ENSGALG00000015662.5
POLR2C	ENSGALG00000001168.5
FAM8A1	ENSGALG00000042858.1
ZC3H15	ENSGALG00000041857.1
LOC116938775	ENSGALG00000046412.1
CREBRF	ENSGALG00000002878.6
LOC116944975	ENSGALG00000003233.5
LOC116945009	ENSGALG00000003429.5
SLC4A11	ENSGALG00000016017.6
LOC116940517	ENSGALG00000014372.4
NEURL1	ENSGALG00000002846.5
LOC116944896	ENSGALG00000004852.5
CCDC3	ENSGALG00000030140.2
LOC116942987	ENSGALG00000014262.5
ENAH	ENSGALG00000009303.6
LOC116943682	ENSGALG00000038042.1
LOC116957398	ENSGALG00000003880.5
SMARCB1	ENSGALG00000005983.5
HINFP	ENSGALG00000006806.5
ATRIP	ENSGALG00000004670.6
ESS2	ENSGALG00000005885.6
GCAT	ENSGALG00000012312.6
LOC116941084	ENSGALG00000012538.5
CWC25	ENSGALG00000001624.6
PEX19	ENSGALG00000029657.1
PDE8B	ENSGALG00000004339.5
LOC116944151	ENSGALG00000038780.1
LOC116944193	ENSGALG00000037156.2
TPRN	ENSGALG00000042421.2
LOC116957458	ENSGALG00000042838.1
LOC116943667	ENSGALG00000015754.3
LOC116939211	ENSGALG00000041510.1
AK6	ENSGALG00000020534.2
LOC116945011	ENSGALG00000003081.5
FHAD1	ENSGALG00000034761.1
WDR37	ENSGALG00000006749.5
LOC116948717	ENSGALG00000035853.2
KLHL23	ENSGALG00000020737.4
LOC116950410	ENSGALG00000002906.6
MGA	ENSGALG00000031456.1
LOC103091769	ENSGALG00000004386.5
LOC116954445	ENSGALG00000005744.4
GNMT	ENSGALG00000043290.1
DGLUCY	ENSGALG00000010703.5
LOC116956900	ENSGALG00000029855.2
TRMT44	ENSGALG00000015594.6
LOC116946382	ENSGALG00000004045.4
LOC116947226	ENSGALG00000009861.6
LOC116952152	ENSGALG00000030065.2
DRG1	ENSGALG00000006921.6
LOC116937480	ENSGALG00000016894.5
LOC116939953	ENSGALG00000000184.6
LOC116952194	ENSGALG00000032402.1
LOC103091758	ENSGALG00000039173.1
LOC116953485	ENSGALG00000026203.2
DHX16	ENSGALG00000032305.1
LOC116940576	ENSGALG00000001640.4
SLC2A9	ENSGALG00000014971.5
LOC116957176	ENSGALG00000016998.5
LOC116939939	ENSGALG00000033730.1
BROX	ENSGALG00000009413.5
MIEF2	ENSGALG00000012144.5
LOC116948173	ENSGALG00000016157.5
LOC116948210	ENSGALG00000032247.1
MTIF3	ENSGALG00000017097.4
LOC116943605	ENSGALG00000041373.1
LOC116948049	ENSGALG00000001181.5
GLB1L2	ENSGALG00000001604.5
ATP13A3	ENSGALG00000007075.4
RPUSD4	ENSGALG00000024326.4
GTDC1	ENSGALG00000012424.5
RPL17	ENSGALG00000036774.2
LOC116939369	ENSGALG00000011200.5
LOC116951926	ENSGALG00000035842.1
YDJC	ENSGALG00000029198.1
PCGF3	ENSGALG00000015333.5
LOC116942220	ENSGALG00000004304.6
FLT1	ENSGALG00000013907.5
FAAH	ENSGALG00000039159.1
LDAH	ENSGALG00000016487.6
LOC116948591	ENSGALG00000009512.5
IL17RD	ENSGALG00000005499.5
MFSD9	ENSGALG00000016792.5
LOC116952919	ENSGALG00000012342.5
LOC116944830	ENSGALG00000013086.5
ELOC	ENSGALG00000035417.1
LOC116944213	ENSGALG00000002957.5
PSMF1	ENSGALG00000000259.3
TOP3A	ENSGALG00000005028.5
WDR35	ENSGALG00000016477.5
EPHX2	ENSGALG00000016567.5
RSF1	ENSGALG00000039068.2
BCO1	ENSGALG00000005408.5
LOC116940015	ENSGALG00000028444.2
TRAF4	ENSGALG00000003987.5
LOC116950772	ENSGALG00000005460.6
YTHDC2	ENSGALG00000000189.5
LRPPRC	ENSGALG00000009967.6
CMTR1	ENSGALG00000010149.5
LOC116957900	ENSGALG00000013537.6
POP1	ENSGALG00000032042.2
UNC45B	ENSGALG00000002186.5
NEURL2	ENSGALG00000006854.4
LOC116940282	ENSGALG00000010642.6
GET4	ENSGALG00000003798.4
EEF1AKMT4	ENSGALG00000026332.2
TWISTNB	ENSGALG00000010863.5
LOC116946567	ENSGALG00000016442.7
LOC116954170	ENSGALG00000038915.1
RRAGC	ENSGALG00000033079.1
LOC116939299	ENSGALG00000032984.2
C1H15orf61	ENSGALG00000028141.2
LOC116941749	ENSGALG00000016570.5
RPL19	ENSGALG00000001658.6
LOC116958607	ENSGALG00000009703.5
KLHL31	ENSGALG00000016309.5
LOC116939065	ENSGALG00000004082.5
GPN1	ENSGALG00000016505.5
LOC116942279	ENSGALG00000012119.5
LOC116944163	ENSGALG00000033630.2
CLSTN1	ENSGALG00000002606.5
ABHD14B	ENSGALG00000045658.1
RPS15	ENSGALG00000015195.5
LOC116939480	ENSGALG00000001141.5
TAPT1	ENSGALG00000014486.6
TCTEX1D4	ENSGALG00000044647.1
PRDX4	ENSGALG00000016357.6
NUP155	ENSGALG00000003688.5
LOC116950657	ENSGALG00000003256.6
MRPL47	ENSGALG00000013759.5
LMLN	ENSGALG00000012067.5
LOC116940216	ENSGALG00000020249.4
PGAP3	ENSGALG00000022030.2
LOC116941011	ENSGALG00000003475.6
LOC116945651	ENSGALG00000013154.4
INPP4A	ENSGALG00000029709.1
MYCBP2	ENSGALG00000016915.5
LOC116940974	ENSGALG00000012246.5
PAMR1	ENSGALG00000007886.6
TTK	ENSGALG00000015874.5
IER3IP1	ENSGALG00000032061.1
ST3GAL2	ENSGALG00000002651.5
TOE1	ENSGALG00000010228.6
LOC116942859	ENSGALG00000046082.1
LARP1B	ENSGALG00000040109.1
BCAS2	ENSGALG00000002002.5
LOC116946089	ENSGALG00000002610.6
CIDEB	ENSGALG00000034500.1
LOC116940669	ENSGALG00000037538.2
LOC116940706	ENSGALG00000008697.5
EXTL3	ENSGALG00000016630.6
LOC116953038	ENSGALG00000003522.4
GJA3	ENSGALG00000017137.3
LOC116940194	ENSGALG00000037740.1
MRGBP	ENSGALG00000005531.6
LOC116957821	ENSGALG00000006325.6
LOC116952718	ENSGALG00000007093.6
TGS1	ENSGALG00000015340.5
LOC116950476	ENSGALG00000036327.2
PARK7	ENSGALG00000036214.2
FZR1	ENSGALG00000002085.6
LOC116946251	ENSGALG00000005087.6
PTGR2	ENSGALG00000009269.5
KCND1	ENSGALG00000001512.5
B9D1	ENSGALG00000005096.5
RAPGEF4	ENSGALG00000043694.1
LOC116940937	ENSGALG00000011046.6
LOC116952443	ENSGALG00000040388.1
ZRSR2	ENSGALG00000016552.5
MAU2	ENSGALG00000002969.5
WDR41	ENSGALG00000004350.6
COL6A1	ENSGALG00000005974.5
AKTIP	ENSGALG00000033378.2
LOC116956740	ENSGALG00000008443.5
MRPS21	ENSGALG00000000456.4
GP9	ENSGALG00000005022.4
RTCB	ENSGALG00000012611.5
LOC116951458	ENSGALG00000001994.6
LOC116939187	ENSGALG00000036742.1
HSDL2	ENSGALG00000015663.6
LOC103091700	ENSGALG00000040609.1
CFAP92	ENSGALG00000044299.1
SIGLEC15	ENSGALG00000039928.2
ALG9	ENSGALG00000021174.5
PRKCI	ENSGALG00000009364.6
LOC116946502	ENSGALG00000012731.6
CCN2	ENSGALG00000037402.2
LOC116939203	ENSGALG00000023683.4
LOC116957091	ENSGALG00000013708.4
AK8	ENSGALG00000040923.1
LOC116955377	ENSGALG00000009021.5
LOC116940289	ENSGALG00000003285.5
LOC116940332	ENSGALG00000002705.6
RTRAF	ENSGALG00000012379.5
PDGFRL	ENSGALG00000013617.6
LOC116949527	ENSGALG00000039292.1
IQCE	ENSGALG00000004329.5
LOC116938892	ENSGALG00000041522.1
TBCK	ENSGALG00000010564.3
RPL10A	ENSGALG00000002644.6
LOC116945290	ENSGALG00000008501.6
RNF26	ENSGALG00000044805.1
PSMD12	ENSGALG00000026225.3
DLL1	ENSGALG00000011182.5
CDO1	ENSGALG00000002358.5
MCMBP	ENSGALG00000009455.6
KLHL8	ENSGALG00000011017.5
LOC116945958	ENSGALG00000004428.4
LOC116945997	ENSGALG00000004334.5
LOC116953856	ENSGALG00000011175.6
WBP11	ENSGALG00000011745.5
LOC116946231	ENSGALG00000005253.5
LOC116958305	ENSGALG00000015198.5
IP6K1	ENSGALG00000026536.3
LOC116948837	ENSGALG00000014737.5
PDCD11	ENSGALG00000008265.5
CLINT1	ENSGALG00000003702.5
LOC116945736	ENSGALG00000000507.5
LOC116955316	ENSGALG00000034948.1
POGLUT2	ENSGALG00000016862.5
LOC116945905	ENSGALG00000040856.1
LOC116940758	ENSGALG00000024171.3
PPP4R2	ENSGALG00000007810.6
CDC123	ENSGALG00000014038.6
UTP18	ENSGALG00000002985.6
LOC116952782	ENSGALG00000011456.5
LOC116952749	ENSGALG00000008554.5
MCMDC2	ENSGALG00000031863.2
RABGGTB	ENSGALG00000011388.6
BAG5	ENSGALG00000031062.1
FAM181A	ENSGALG00000029070.3
LOC116948043	ENSGALG00000015492.6
ZFX	ENSGALG00000016327.5
LOC116944348	ENSGALG00000031410.2
WDR4	ENSGALG00000016187.6
LOC116954960	ENSGALG00000000784.6
FAF1	ENSGALG00000010536.5
EFL1	ENSGALG00000006225.5
COQ7	ENSGALG00000006861.6
LOC116951698	ENSGALG00000004068.5
DMTF1	ENSGALG00000030844.2
LOC116942893	ENSGALG00000009139.6
LOC116944379	ENSGALG00000014331.5
ZNF451	ENSGALG00000016282.5
STT3A	ENSGALG00000042730.2
IFT46	ENSGALG00000007438.7
LOC116950938	ENSGALG00000012311.6
LOC116952083	ENSGALG00000011484.5
LOC116953605	ENSGALG00000026152.2
EXOC7	ENSGALG00000002050.6
LOC116945510	ENSGALG00000005632.4
BAP1	ENSGALG00000004366.5
LOC116952509	ENSGALG00000007952.5
