NCAPH2	ENSLOCG00000015775
WDR91	ENSLOCG00000003472
MELK	ENSLOCG00000012822
MB21D2	ENSLOCG00000009364
LOC116956955	ENSLOCG00000011046
ALYREF	ENSLOCG00000013879
LOC116949702	ENSLOCG00000013166
FAM221A	ENSLOCG00000011634
ROR1	ENSLOCG00000008233
LOC116951984	ENSLOCG00000007783
NSMCE2	ENSLOCG00000010034
LOC116946662	ENSLOCG00000012128
MOXD1	ENSLOCG00000017024
SPON1	ENSLOCG00000004343
LOC116942208	ENSLOCG00000012829
LOC116943997	ENSLOCG00000010932
ANKRD46	ENSLOCG00000014469
MCRIP2	ENSLOCG00000002770
LOC116954135	ENSLOCG00000010118
LOC116940379	ENSLOCG00000017552
WIPI2	ENSLOCG00000004511
VPS35L	ENSLOCG00000002839
FKBP14	ENSLOCG00000006139
LOC116954766	ENSLOCG00000009654
LOC116958345	ENSLOCG00000010269
UBE2F	ENSLOCG00000004366
MTMR9	ENSLOCG00000016765
MCF2L2	ENSLOCG00000000896
LOC116940060	ENSLOCG00000005410
MGMT	ENSLOCG00000007632
LOC116937895	ENSLOCG00000012338
LOC116951072	ENSLOCG00000005490
LOC116954032	ENSLOCG00000014661
GFM1	ENSLOCG00000003778
ARPC2	ENSLOCG00000009169
LOC116939613	ENSLOCG00000015408
SDE2	ENSLOCG00000015633
LOC116943049	ENSLOCG00000008164
LOC116944988	ENSLOCG00000006193
LOC116945019	ENSLOCG00000012448
LOC116945648	ENSLOCG00000003266
CCDC65	ENSLOCG00000007755
BARD1	ENSLOCG00000004470
LOC116951115	ENSLOCG00000009813
SPOUT1	ENSLOCG00000004143
BTBD10	ENSLOCG00000003960
LOC116942846	ENSLOCG00000014897
LOC116944844	ENSLOCG00000004460
ADGRD2	ENSLOCG00000005172
HTT	ENSLOCG00000010421
TMEM167A	ENSLOCG00000002040
KIAA1841	ENSLOCG00000016119
LOC116957516	ENSLOCG00000015330
NOB1	ENSLOCG00000001411
MOSPD2	ENSLOCG00000010087
LOC116957092	ENSLOCG00000006012
LOC116942525	ENSLOCG00000002803
RBM25	ENSLOCG00000014196
LOC116953284	ENSLOCG00000015414
LOC116953371	ENSLOCG00000002797
EML1	ENSLOCG00000014764
GNAZ	ENSLOCG00000002815
THOC3	ENSLOCG00000011610
SMG8	ENSLOCG00000001234
NLK	ENSLOCG00000005662
ARMC2	ENSLOCG00000016606
JAGN1	ENSLOCG00000009456
LOC116937807	ENSLOCG00000008648
LOC116958044	ENSLOCG00000002754
LOC116958093	ENSLOCG00000003823
OLA1	ENSLOCG00000007399
LOC116952335	ENSLOCG00000016043
LOC116952362	ENSLOCG00000016351
BCL10	ENSLOCG00000005418
SELENOF	ENSLOCG00000005156
LOC116946252	ENSLOCG00000013304
LOC116946284	ENSLOCG00000010755
MED20	ENSLOCG00000012654
MLH1	ENSLOCG00000004851
TMBIM6	ENSLOCG00000004059
SDCCAG8	ENSLOCG00000015392
BICC1	ENSLOCG00000006500
MEST	ENSLOCG00000015610
FITM2	ENSLOCG00000001999
LOC116936869	ENSLOCG00000006973
LOC116941285	ENSLOCG00000009666
SCPEP1	ENSLOCG00000013821
LOC116947497	ENSLOCG00000016994
LOC116950822	ENSLOCG00000013314
ANKDD1B	ENSLOCG00000014104
UBE2O	ENSLOCG00000013468
GTF3C5	ENSLOCG00000005767
NCLN	ENSLOCG00000004061
LOC116954988	ENSLOCG00000015045
MRGBP	ENSLOCG00000004057
LOC116957821	ENSLOCG00000015745
LOC116941334	ENSLOCG00000018253
POLD2	ENSLOCG00000015171
STARD3	ENSLOCG00000012741
LOC116956821	ENSLOCG00000008886
GALC	ENSLOCG00000008580
ADD1	ENSLOCG00000011644
LOC116949673	ENSLOCG00000006354
FDXR	ENSLOCG00000011730
TFAP4	ENSLOCG00000002626
ZFYVE19	ENSLOCG00000012832
LKAAEAR1	ENSLOCG00000005318
LOC116943613	ENSLOCG00000013565
MRPL39	ENSLOCG00000010708
THTPA	ENSLOCG00000001092
LOC116943490	ENSLOCG00000014829
LOC116944425	ENSLOCG00000016744
LOC116944423	ENSLOCG00000002122
LOC116947885	ENSLOCG00000000683
LOC116947917	ENSLOCG00000005648
NOL11	ENSLOCG00000013594
SMC2	ENSLOCG00000013338
NCAM1	ENSLOCG00000004658
COMMD9	ENSLOCG00000001074
LOC103091774	ENSLOCG00000007706
LOC116943902	ENSLOCG00000018348
LOC116951602	ENSLOCG00000006161
TXNDC17	ENSLOCG00000006280
IPO5	ENSLOCG00000003556
LOC116952511	ENSLOCG00000000589
LOC116941589	ENSLOCG00000009416
LOC116943958	ENSLOCG00000000812
RPS7	ENSLOCG00000017211
LOC116954646	ENSLOCG00000004671
LOC116955417	ENSLOCG00000003419
LOC116946580	ENSLOCG00000018129
SNRNP48	ENSLOCG00000004187
LOC116941094	ENSLOCG00000007151
FBXL16	ENSLOCG00000006759
IFT88	ENSLOCG00000010875
LOC116946069	ENSLOCG00000005551
NME6	ENSLOCG00000016724
LOC116945491	ENSLOCG00000004007
LOC116946155	ENSLOCG00000008517
LOC116954673	ENSLOCG00000004129
IPPK	ENSLOCG00000013831
LOC116946475	ENSLOCG00000001886
LOC116944926	ENSLOCG00000006102
LOC116948829	ENSLOCG00000004217
LARS2	ENSLOCG00000002048
MANEA	ENSLOCG00000003339
DCP2	ENSLOCG00000009013
MCMBP	ENSLOCG00000011440
DDA1	ENSLOCG00000003013
LOC116944594	ENSLOCG00000008025
HINFP	ENSLOCG00000003801
GLOD4	ENSLOCG00000006096
HIC1	ENSLOCG00000006478
MFRP	ENSLOCG00000006477
RRAGC	ENSLOCG00000005778
GPAM	ENSLOCG00000012286
LOC116940596	ENSLOCG00000012991
PGM2	ENSLOCG00000012883
LOC116943012	ENSLOCG00000014023
MAD2L2	ENSLOCG00000005872
LOC116938397	ENSLOCG00000003352
LOC116955293	ENSLOCG00000009332
LOC116951526	ENSLOCG00000012222
LOC116937435	ENSLOCG00000006046
ATP9B	ENSLOCG00000007857
LOC116952058	ENSLOCG00000008834
LOC116955090	ENSLOCG00000007431
RNPC3	ENSLOCG00000007986
MIGA1	ENSLOCG00000004191
CELF2	ENSLOCG00000015690
ABHD13	ENSLOCG00000017797
LOC116952589	ENSLOCG00000010398
SEL1L3	ENSLOCG00000007930
PSMG4	ENSLOCG00000013039
ACE	ENSLOCG00000012317
TM7SF2	ENSLOCG00000015911
FASTKD3	ENSLOCG00000011153
LOC116940471	ENSLOCG00000012515
ST3GAL5	ENSLOCG00000010912
KIF3A	ENSLOCG00000010399
LOC116948156	ENSLOCG00000004045
C32H22orf15	ENSLOCG00000002310
LOC116947340	ENSLOCG00000015740
TEPSIN	ENSLOCG00000012812
LOC116949698	ENSLOCG00000011647
LOC116939190	ENSLOCG00000006183
CEP78	ENSLOCG00000009875
LOC116950667	ENSLOCG00000011104
LOC116953118	ENSLOCG00000000818
LOC116939719	ENSLOCG00000016410
LOC116950875	ENSLOCG00000015706
LOC116942460	ENSLOCG00000015027
LOC116942496	ENSLOCG00000016133
USP47	ENSLOCG00000004131
LOC116937940	ENSLOCG00000009879
LOC116958773	ENSLOCG00000014980
HYLS1	ENSLOCG00000016635
LOC116952068	ENSLOCG00000008876
LIN9	ENSLOCG00000015793
PRORP	ENSLOCG00000009172
LOC116952319	ENSLOCG00000010516
TRMU	ENSLOCG00000016066
LANCL2	ENSLOCG00000010686
STRADA	ENSLOCG00000011776
CARS2	ENSLOCG00000009049
LOC116957544	ENSLOCG00000011259
FRMD4A	ENSLOCG00000016730
DHX34	ENSLOCG00000014928
CCDC130	ENSLOCG00000006327
FUT8	ENSLOCG00000014133
LOC116951539	ENSLOCG00000007224
VASN	ENSLOCG00000018091
LOC116947678	ENSLOCG00000007070
RALGAPB	ENSLOCG00000000654
NUDCD1	ENSLOCG00000003063
LOC116957836	ENSLOCG00000005165
PTPN9	ENSLOCG00000012772
SNTG2	ENSLOCG00000016425
LOC116957596	ENSLOCG00000003740
DCST2	ENSLOCG00000005838
SPG11	ENSLOCG00000014059
LRRC32	ENSLOCG00000009699
LOC116957885	ENSLOCG00000002250
SUFU	ENSLOCG00000012672
HPDL	ENSLOCG00000008001
LOC116938788	ENSLOCG00000004633
PIBF1	ENSLOCG00000011336
LOC116956764	ENSLOCG00000001427
LOC116956913	ENSLOCG00000007494
ETFDH	ENSLOCG00000008102
LOC116952042	ENSLOCG00000006994
LRRCC1	ENSLOCG00000012790
EXOC1	ENSLOCG00000014025
SNRPA1	ENSLOCG00000014084
LOC116947615	ENSLOCG00000016983
LOC116950513	ENSLOCG00000005842
LOC116950543	ENSLOCG00000008244
LOC116951906	ENSLOCG00000003023
CINP	ENSLOCG00000009791
LOC116939565	ENSLOCG00000006159
LOC116948411	ENSLOCG00000010489
LOC116947878	ENSLOCG00000016418
KDM8	ENSLOCG00000003965
LOC103091843	ENSLOCG00000012132
USP3	ENSLOCG00000014869
LOC116943240	ENSLOCG00000014000
LOC116943279	ENSLOCG00000011370
LOC116945540	ENSLOCG00000006755
RPL7	ENSLOCG00000003754
ARGLU1	ENSLOCG00000011090
EED	ENSLOCG00000009588
SLC35A1	ENSLOCG00000016927
PSMC3	ENSLOCG00000006198
LOC116950567	ENSLOCG00000002351
LOC116952218	ENSLOCG00000014050
LOC116949516	ENSLOCG00000012878
SETD4	ENSLOCG00000006764
FZD4	ENSLOCG00000007103
INTS1	ENSLOCG00000001281
CFAP300	ENSLOCG00000005645
LOC116958117	ENSLOCG00000005444
LOC116955742	ENSLOCG00000011796
SMARCB1	ENSLOCG00000006685
C41H10orf105	ENSLOCG00000018239
MAN2B1	ENSLOCG00000006499
VAPA	ENSLOCG00000002404
FRAS1	ENSLOCG00000007363
MYOC	ENSLOCG00000010402
LOC116946664	ENSLOCG00000007302
LOC116946835	ENSLOCG00000013332
NAB1	ENSLOCG00000009947
LOC116942618	ENSLOCG00000015508
LOC116942659	ENSLOCG00000017110
KMT2C	ENSLOCG00000012568
LOC116952065	ENSLOCG00000008819
DPM1	ENSLOCG00000002964
LOC116939264	ENSLOCG00000001640
TIMM9	ENSLOCG00000009345
INSM1	ENSLOCG00000018009
TARBP1	ENSLOCG00000016214
LOC116941075	ENSLOCG00000010959
PIGQ	ENSLOCG00000006867
TBX4	ENSLOCG00000007616
ISOC1	ENSLOCG00000008332
FKBP15	ENSLOCG00000002569
LOC116939970	ENSLOCG00000015099
LRCH1	ENSLOCG00000008472
ELMOD3	ENSLOCG00000015165
LOC116948297	ENSLOCG00000015762
LOC116947021	ENSLOCG00000008958
LOC116957411	ENSLOCG00000002563
LOC116941391	ENSLOCG00000007878
SETD6	ENSLOCG00000006305
LOC116946107	ENSLOCG00000001994
LOC116951938	ENSLOCG00000008289
RAD17	ENSLOCG00000004231
LOC116954198	ENSLOCG00000009960
LOC116954178	ENSLOCG00000002111
LOC116939955	ENSLOCG00000004831
PSME3IP1	ENSLOCG00000007733
LOC116957026	ENSLOCG00000006410
LOC116940547	ENSLOCG00000001968
LOC116940585	ENSLOCG00000008139
LOC116940289	ENSLOCG00000011878
LOC116940332	ENSLOCG00000012606
ECPAS	ENSLOCG00000013324
MTRF1	ENSLOCG00000005937
LOC116943508	ENSLOCG00000008354
PSPH	ENSLOCG00000004152
UBE2C	ENSLOCG00000006709
GRIK5	ENSLOCG00000002001
RAB7A	ENSLOCG00000014547
GTF2B	ENSLOCG00000005057
ZFAT	ENSLOCG00000003701
ANKRD2	ENSLOCG00000012838
ST3GAL2	ENSLOCG00000006466
LOC116952521	ENSLOCG00000017494
LOC116939163	ENSLOCG00000002511
PFDN5	ENSLOCG00000007134
LOC116955765	ENSLOCG00000007943
RAB11FIP4	ENSLOCG00000013807
LOC116952266	ENSLOCG00000011063
LOC116950599	ENSLOCG00000006969
INKA1	ENSLOCG00000018248
LOC116941296	ENSLOCG00000000024
KYNU	ENSLOCG00000001250
EEF1AKMT2	ENSLOCG00000008027
LOC116953957	ENSLOCG00000014723
LOC116953924	ENSLOCG00000016127
OXSM	ENSLOCG00000006960
LOC116957577	ENSLOCG00000007037
SRSF9	ENSLOCG00000005994
LOC116945612	ENSLOCG00000002207
LOC116945646	ENSLOCG00000015235
CFAP70	ENSLOCG00000002464
LOC116940646	ENSLOCG00000006879
LOC116940684	ENSLOCG00000003789
LOC116949652	ENSLOCG00000004976
LOC116949537	ENSLOCG00000006836
ARIH1	ENSLOCG00000014970
LOC116945878	ENSLOCG00000006964
RPS19	ENSLOCG00000004313
GTF2F1	ENSLOCG00000006340
LOC116948948	ENSLOCG00000009363
LOC116941656	ENSLOCG00000007038
KCTD6	ENSLOCG00000013186
COMMD3	ENSLOCG00000011800
LOC116938592	ENSLOCG00000011688
GPD1L	ENSLOCG00000002215
CROT	ENSLOCG00000010406
LOC116943455	ENSLOCG00000005897
LOC116951859	ENSLOCG00000011499
SGTA	ENSLOCG00000000394
LOC116954089	ENSLOCG00000008087
HSBP1	ENSLOCG00000002268
PSCA	ENSLOCG00000007752
POP5	ENSLOCG00000002924
LOC116945088	ENSLOCG00000007081
EMC2	ENSLOCG00000003094
LOC116955320	ENSLOCG00000004600
SRP68	ENSLOCG00000013514
LOC116938421	ENSLOCG00000013642
VCPKMT	ENSLOCG00000011242
LOC116944502	ENSLOCG00000015377
LOC116945801	ENSLOCG00000008842
SELENON	ENSLOCG00000004324
KLHL21	ENSLOCG00000002774
FCF1	ENSLOCG00000010728
LOC116950143	ENSLOCG00000005774
MRM1	ENSLOCG00000004945
INPP5E	ENSLOCG00000003484
NALCN	ENSLOCG00000002812
ESM1	ENSLOCG00000012017
C13H9orf135	ENSLOCG00000009476
LOC116944582	ENSLOCG00000008556
KPTN	ENSLOCG00000014286
LOC116939635	ENSLOCG00000017368
CTSZ	ENSLOCG00000006242
LOC116939884	ENSLOCG00000002963
POLR1B	ENSLOCG00000016558
LOC116958542	ENSLOCG00000001956
LOC116941872	ENSLOCG00000006682
C13H9orf64	ENSLOCG00000002249
LOC116948469	ENSLOCG00000009826
LOC116951091	ENSLOCG00000016072
LOC116947257	ENSLOCG00000008714
LOC116948365	ENSLOCG00000010678
DNPH1	ENSLOCG00000016740
CDCA7	ENSLOCG00000011532
AACS	ENSLOCG00000001938
TSN	ENSLOCG00000002191
ILKAP	ENSLOCG00000009095
LOC116940400	ENSLOCG00000002965
SH3PXD2B	ENSLOCG00000010766
LOC116941240	ENSLOCG00000009822
NPAS4	ENSLOCG00000015860
XPR1	ENSLOCG00000009831
LOC116952820	ENSLOCG00000003142
BAX	ENSLOCG00000005142
PIKFYVE	ENSLOCG00000003875
FASTKD2	ENSLOCG00000010389
CCT4	ENSLOCG00000016088
LOC116947783	ENSLOCG00000014169
LOC116951946	ENSLOCG00000005669
LOC116939065	ENSLOCG00000006508
RPL19	ENSLOCG00000012805
LOC116943185	ENSLOCG00000017712
LOC116943225	ENSLOCG00000015867
PARL	ENSLOCG00000009339
OGFOD1	ENSLOCG00000007991
SLC24A3	ENSLOCG00000016155
PPIL3	ENSLOCG00000003154
LOC116957477	ENSLOCG00000003076
LOC116951123	ENSLOCG00000017426
CNBD1	ENSLOCG00000010391
LOC116948115	ENSLOCG00000003836
SLC37A4	ENSLOCG00000003300
LOC116950692	ENSLOCG00000014156
TSNAXIP1	ENSLOCG00000006745
POLG2	ENSLOCG00000013528
LOC116946140	ENSLOCG00000004563
SLC5A11	ENSLOCG00000005342
PDIA4	ENSLOCG00000013319
BMPR2	ENSLOCG00000010166
EFHC2	ENSLOCG00000001949
GSTCD	ENSLOCG00000012628
SLC17A5	ENSLOCG00000016166
LOC116956645	ENSLOCG00000006097
USF2	ENSLOCG00000005321
PPP2R5C	ENSLOCG00000016734
LOC116948414	ENSLOCG00000017188
OS9	ENSLOCG00000007533
LOC116940319	ENSLOCG00000014966
LOC116940353	ENSLOCG00000004752
REV1	ENSLOCG00000001353
LOC116945123	ENSLOCG00000016893
OCA2	ENSLOCG00000008282
LOC116940569	ENSLOCG00000001602
FAM136A	ENSLOCG00000015664
MCCC1	ENSLOCG00000000778
HPX	ENSLOCG00000006464
DXO	ENSLOCG00000008086
LOC116951696	ENSLOCG00000015894
MED22	ENSLOCG00000000579
LOC116941300	ENSLOCG00000009467
AP5M1	ENSLOCG00000011145
LOC116948339	ENSLOCG00000009854
TEX14	ENSLOCG00000001292
LOC116940309	ENSLOCG00000004022
LOC116954810	ENSLOCG00000002706
ODF2	ENSLOCG00000005870
LOC116950312	ENSLOCG00000004035
RANBP2	ENSLOCG00000010333
STT3B	ENSLOCG00000002252
LOC116941117	ENSLOCG00000000744
LOC116948911	ENSLOCG00000010510
CCDC66	ENSLOCG00000013348
LOC103091685	ENSLOCG00000013111
UBE3C	ENSLOCG00000012433
SLC25A36	ENSLOCG00000004239
DNAJC16	ENSLOCG00000001888
PPIH	ENSLOCG00000002496
LOC116958330	ENSLOCG00000008409
COL22A1	ENSLOCG00000003807
ARID2	ENSLOCG00000016423
LOC116958220	ENSLOCG00000003305
LOC116953535	ENSLOCG00000000094
RRP12	ENSLOCG00000003846
LOC116951028	ENSLOCG00000012849
LOC116939366	ENSLOCG00000008496
CHMP3	ENSLOCG00000010813
LOC116944706	ENSLOCG00000005895
LOC116945879	ENSLOCG00000013274
RPUSD4	ENSLOCG00000003124
INF2	ENSLOCG00000012729
LOC116958139	ENSLOCG00000004104
LOC116947820	ENSLOCG00000015601
TNRC6C	ENSLOCG00000013377
PEX7	ENSLOCG00000017270
LOC116937520	ENSLOCG00000003025
LOC116937574	ENSLOCG00000012349
LOC116948777	ENSLOCG00000002242
SAMD8	ENSLOCG00000004590
ZMIZ1	ENSLOCG00000004888
LOC116941051	ENSLOCG00000011030
LOC116940853	ENSLOCG00000006089
LOC116937195	ENSLOCG00000017336
WLS	ENSLOCG00000004552
LOC116954951	ENSLOCG00000002171
MTHFSD	ENSLOCG00000001066
METAP1D	ENSLOCG00000007621
FBXO47	ENSLOCG00000010408
LOC116956261	ENSLOCG00000008929
LOC116945592	ENSLOCG00000017921
NUF2	ENSLOCG00000014009
VASH1	ENSLOCG00000010644
LOC103091701	ENSLOCG00000011012
LOC116956496	ENSLOCG00000015415
NOP56	ENSLOCG00000004860
AIP	ENSLOCG00000015314
TIMM22	ENSLOCG00000003575
TRAPPC8	ENSLOCG00000012192
TSR1	ENSLOCG00000006491
LOC116955949	ENSLOCG00000000554
TMEM201	ENSLOCG00000006950
PUS7L	ENSLOCG00000001587
C41H2orf69	ENSLOCG00000005160
PPP2R3C	ENSLOCG00000009180
SULT4A1	ENSLOCG00000015081
LOC116952818	ENSLOCG00000015671
LOC116955070	ENSLOCG00000013703
LOC116940225	ENSLOCG00000011225
ATG13	ENSLOCG00000005677
C9H20orf194	ENSLOCG00000000908
LOC116943206	ENSLOCG00000009065
PAH	ENSLOCG00000015172
LOC116944821	ENSLOCG00000001665
LOC116945075	ENSLOCG00000002911
RMI2	ENSLOCG00000004133
LOC116948944	ENSLOCG00000012701
CHMP6	ENSLOCG00000012913
ANO8	ENSLOCG00000003024
PARP4	ENSLOCG00000010789
LOC116941344	ENSLOCG00000011770
LOC116946869	ENSLOCG00000017222
LOC116941598	ENSLOCG00000015830
LOC116947432	ENSLOCG00000007606
PSMD12	ENSLOCG00000013614
LOC116941424	ENSLOCG00000012139
LIAS	ENSLOCG00000013001
LOC116942909	ENSLOCG00000018039
VPS36	ENSLOCG00000008718
ANKFY1	ENSLOCG00000002602
WDR78	ENSLOCG00000007005
NUCB2	ENSLOCG00000002925
WDR83OS	ENSLOCG00000006415
LOC116946572	ENSLOCG00000016033
ESPN	ENSLOCG00000005522
LOC116952813	ENSLOCG00000014172
LOC116950895	ENSLOCG00000012943
LOC116946009	ENSLOCG00000005566
GNPTG	ENSLOCG00000003683
NUBPL	ENSLOCG00000009552
LOC116937733	ENSLOCG00000007967
LOC116946079	ENSLOCG00000005732
ELAC2	ENSLOCG00000012146
SLC25A10	ENSLOCG00000013922
EMC3	ENSLOCG00000010724
RARRES1	ENSLOCG00000003797
LOC116956329	ENSLOCG00000005438
RRM1	ENSLOCG00000007941
CD2BP2	ENSLOCG00000000081
KCTD18	ENSLOCG00000003486
LOC116940953	ENSLOCG00000002412
TXNDC5	ENSLOCG00000013233
DNAJA2	ENSLOCG00000005384
LOC116948673	ENSLOCG00000013411
CCDC6	ENSLOCG00000006632
MBTPS2	ENSLOCG00000003747
LOC116955046	ENSLOCG00000007864
LOC116954998	ENSLOCG00000005821
LOC116946685	ENSLOCG00000016624
GPS2	ENSLOCG00000013806
POMP	ENSLOCG00000001993
LOC116953892	ENSLOCG00000009730
ARPC3	ENSLOCG00000007235
LOC116943050	ENSLOCG00000007440
LOC116941385	ENSLOCG00000011362
LOC116943648	ENSLOCG00000006169
DMGDH	ENSLOCG00000005858
LOC116943843	ENSLOCG00000005629
UPRT	ENSLOCG00000013655
LOC116947331	ENSLOCG00000013408
IGBP1	ENSLOCG00000014729
LOC116958098	ENSLOCG00000005343
CAAP1	ENSLOCG00000012584
WDR63	ENSLOCG00000005471
LOC116937441	ENSLOCG00000000050
LOC116937479	ENSLOCG00000007485
TOMM7	ENSLOCG00000011551
LOC116944924	ENSLOCG00000006144
LOC116947664	ENSLOCG00000011504
ACTR2	ENSLOCG00000016032
LOC116938715	ENSLOCG00000005081
TATDN1	ENSLOCG00000009012
METTL14	ENSLOCG00000003385
LOC116942196	ENSLOCG00000008424
FUT11	ENSLOCG00000000619
LOC116944975	ENSLOCG00000015161
LOC116945009	ENSLOCG00000001302
CFAP47	ENSLOCG00000010136
LOC116940704	ENSLOCG00000012350
MPG	ENSLOCG00000007699
UBLCP1	ENSLOCG00000009305
BORA	ENSLOCG00000011308
TAF8	ENSLOCG00000012673
KLHL31	ENSLOCG00000016896
NDUFB2	ENSLOCG00000016677
RPS13	ENSLOCG00000002984
LOC116946157	ENSLOCG00000011088
LOC116941555	ENSLOCG00000015410
CARHSP1	ENSLOCG00000006547
LOC116956609	ENSLOCG00000006565
LOC116950517	ENSLOCG00000017903
LOC116941047	ENSLOCG00000005194
GLA	ENSLOCG00000015326
NT5C3A	ENSLOCG00000002600
LOC116944345	ENSLOCG00000013327
LOC116946991	ENSLOCG00000000651
LOC116946243	ENSLOCG00000018102
SPA17	ENSLOCG00000002254
RNF26	ENSLOCG00000003440
PSMB1	ENSLOCG00000015486
GNG7	ENSLOCG00000000727
TMEM38A	ENSLOCG00000001550
LOC116950216	ENSLOCG00000006264
LOC116940997	ENSLOCG00000003973
LOC116939747	ENSLOCG00000017361
HSD17B7	ENSLOCG00000007122
KATNB1	ENSLOCG00000006166
GTPBP4	ENSLOCG00000012279
LOC116948802	ENSLOCG00000010925
CFAP298	ENSLOCG00000009219
LOC116941564	ENSLOCG00000016173
DPP10	ENSLOCG00000002992
LOC116947387	ENSLOCG00000016793
MSRA	ENSLOCG00000015881
LOC116949648	ENSLOCG00000008372
NCAPD3	ENSLOCG00000004914
CDK9	ENSLOCG00000005311
GNPTAB	ENSLOCG00000015184
VTA1	ENSLOCG00000000349
SNRPE	ENSLOCG00000011927
SPTY2D1	ENSLOCG00000001901
HAGH	ENSLOCG00000005110
EIF2B3	ENSLOCG00000002492
GADD45GIP1	ENSLOCG00000008024
MMS22L	ENSLOCG00000017105
CCDC28B	ENSLOCG00000002375
HIGD2A	ENSLOCG00000011907
TBC1D30	ENSLOCG00000017068
LOC116950892	ENSLOCG00000012538
ZSWIM8	ENSLOCG00000012853
LOC116955682	ENSLOCG00000007449
LOC116955954	ENSLOCG00000017789
LOC116952968	ENSLOCG00000010780
LOC116940382	ENSLOCG00000011523
BCKDK	ENSLOCG00000002780
KRTCAP2	ENSLOCG00000006824
LONP1	ENSLOCG00000003119
SLC41A2	ENSLOCG00000011890
LOC116944703	ENSLOCG00000013403
FBXW2	ENSLOCG00000002095
LOC116958468	ENSLOCG00000010291
LOC116957007	ENSLOCG00000013431
LOC116955433	ENSLOCG00000005404
LOC116956754	ENSLOCG00000002665
LOC116940531	ENSLOCG00000015024
LOC116944091	ENSLOCG00000008592
LOC116947081	ENSLOCG00000012532
LOC116939990	ENSLOCG00000014667
AMBRA1	ENSLOCG00000005523
BUB3	ENSLOCG00000008177
CRBN	ENSLOCG00000011083
LOC116949573	ENSLOCG00000018088
PI4KA	ENSLOCG00000002180
LOC116936986	ENSLOCG00000005640
SAP30BP	ENSLOCG00000011509
APIP	ENSLOCG00000001341
LOC116937100	ENSLOCG00000004137
AIFM3	ENSLOCG00000003842
ITGA11	ENSLOCG00000013952
LOC116952277	ENSLOCG00000013340
UXT	ENSLOCG00000014570
MIOX	ENSLOCG00000016820
LOC116944910	ENSLOCG00000001984
HSD17B14	ENSLOCG00000003168
ITFG1	ENSLOCG00000005347
NRBF2	ENSLOCG00000006865
METTL9	ENSLOCG00000008339
AMMECR1	ENSLOCG00000013808
LOC116953359	ENSLOCG00000017243
PIGV	ENSLOCG00000003786
NCDN	ENSLOCG00000000757
PKD1	ENSLOCG00000002998
LOC116944570	ENSLOCG00000005713
TEX11	ENSLOCG00000015211
LOC116955945	ENSLOCG00000013663
LOC116946521	ENSLOCG00000011840
ECHS1	ENSLOCG00000004265
SUPV3L1	ENSLOCG00000009159
TTLL11	ENSLOCG00000003942
ATMIN	ENSLOCG00000000709
TK1	ENSLOCG00000012676
TTC6	ENSLOCG00000009393
DPP3	ENSLOCG00000001626
LOC116940685	ENSLOCG00000015670
LOC116940719	ENSLOCG00000011017
FOCAD	ENSLOCG00000011240
FBXL17	ENSLOCG00000009168
LOC116945762	ENSLOCG00000009638
SMPD3	ENSLOCG00000003455
IFT43	ENSLOCG00000010599
LOC116951068	ENSLOCG00000012436
SOD3	ENSLOCG00000018062
EFCC1	ENSLOCG00000014014
SIN3A	ENSLOCG00000015051
RHBDL2	ENSLOCG00000005736
PDE1A	ENSLOCG00000012915
LDLRAD4	ENSLOCG00000009567
LOC116939158	ENSLOCG00000001578
LOC116938685	ENSLOCG00000012256
WDR34	ENSLOCG00000005978
LOC116952937	ENSLOCG00000013636
SLC25A19	ENSLOCG00000013316
LOC116943348	ENSLOCG00000007600
LOC116945657	ENSLOCG00000012517
LOC116950504	ENSLOCG00000007530
LOC116944682	ENSLOCG00000018235
MRRF	ENSLOCG00000003021
IGSF9B	ENSLOCG00000004847
ABCG4	ENSLOCG00000003898
LOC116955101	ENSLOCG00000009689
RNF4	ENSLOCG00000006957
DENND3	ENSLOCG00000007668
HMGCL	ENSLOCG00000001792
PCSK7	ENSLOCG00000006279
LOC116946647	ENSLOCG00000005269
LOC116953038	ENSLOCG00000002213
GJA3	ENSLOCG00000018319
LOC116948718	ENSLOCG00000002732
LOC116952989	ENSLOCG00000017085
LOC116952917	ENSLOCG00000006667
LOC116948184	ENSLOCG00000002321
LOC116940634	ENSLOCG00000012182
FBXO41	ENSLOCG00000002435
LOC116940927	ENSLOCG00000007106
N6AMT1	ENSLOCG00000010815
LOC116940204	ENSLOCG00000006105
UBE4B	ENSLOCG00000006740
UNC93B1	ENSLOCG00000007905
FAHD1	ENSLOCG00000005085
LOC116938057	ENSLOCG00000008046
MGA	ENSLOCG00000011689
HHAT	ENSLOCG00000015584
TMTC4	ENSLOCG00000002966
GTF3C3	ENSLOCG00000005238
LOC116952193	ENSLOCG00000007168
LOC116952113	ENSLOCG00000005823
WDR54	ENSLOCG00000005095
LOC116940589	ENSLOCG00000012099
GORAB	ENSLOCG00000001880
LOC116952693	ENSLOCG00000015473
MRPL34	ENSLOCG00000002997
EI24	ENSLOCG00000002857
LOC116952920	ENSLOCG00000016129
CEP43	ENSLOCG00000017219
LOC116947215	ENSLOCG00000011787
TAF12	ENSLOCG00000003480
UPK3A	ENSLOCG00000016525
LOC116936988	ENSLOCG00000006226
WDR3	ENSLOCG00000011052
BCAR1	ENSLOCG00000008018
