ID	NAME	Eggs_G	Embr_32cells	Embr_8h	Embr_15h	Embr_36h	PreMetam_G	Cirri_b	Epidermis_b	FemGonads_b	Gills_b	Gut_b	Hepatic_b	Hepatic_o	MaleGonads_b	Muscle_b	NeuralTube_b	NeuralTube_o
BL13617	ST6GALNAC2	0.02	0.10	0.98	0.65	0.68	0.38	1.10	0.27	0.20	0.35	0.59	0.22	0.48	0.27	0.06	0.23	0.17
BL13619	MFGE8	0.04	0.63	1.26	0.03	0.01	0.06	1.44	0.14	0.10	51.20	0.65	0.24	0.31	0.11	4.75	0.51	0.77
BL13622	TIE1	0.06	0.00	0.04	0.04	0.00	0.00	3.01	0.00	0.06	4.01	1.55	2.50	3.87	0.07	0.86	0.06	0.00
BL13624	AGBL4	22.56	4.85	3.12	5.04	4.92	10.09	4.49	1.17	2.33	3.93	7.46	2.98	3.61	9.40	1.01	4.24	5.96
BL13625	NDUFAF2	0.36	2.44	2.29	0.47	2.42	0.74	1.49	5.66	1.09	2.49	1.19	0.52	0.86	0.00	7.51	1.75	0.30
BL13626	ACSS2	0.05	0.61	0.81	0.02	0.46	1.80	1.96	5.94	0.41	2.32	2.59	9.50	5.06	2.61	0.81	0.58	4.77
BL13627	PNLIPRP1	0.00	0.00	0.19	0.04	0.00	124.12	0.13	0.00	1.55	3.76	167.30	1530.87	1381.09	15.78	4.45	1.29	9.43
BL13628	C1orf163	135.61	73.43	20.69	4.72	11.24	11.51	4.15	6.91	13.88	8.49	6.46	2.75	1.54	10.77	13.72	2.99	4.06
BL13629	H2AFX	0.00	0.18	9.47	0.26	0.12	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.06	5.00	0.00	0.00	0.00
BL13630	RGL1	0.79	20.13	4.13	11.71	6.91	17.51	10.28	1.98	12.10	20.36	19.44	11.98	10.52	6.06	18.23	23.01	30.36
BL13631	H2AFX	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00
BL13633	H2AFX	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	0.00	0.00	0.00
BL13635	LRSAM1	4.09	10.15	11.07	1.31	7.13	14.46	8.41	7.89	13.57	4.68	24.52	15.06	15.55	18.19	6.64	15.08	17.09
BL13636	FSD1L	0.00	0.00	1.45	0.12	0.07	0.40	9.36	17.70	7.09	8.23	8.50	6.42	2.02	4.06	3.65	1.32	2.38
BL13639	FCN1	0.00	0.00	0.05	0.02	0.00	0.31	0.00	0.00	0.21	0.00	1.94	0.22	0.25	0.26	0.07	0.07	0.00
BL13640	RAD50	0.11	0.90	1.39	2.41	5.04	1.61	9.59	11.58	9.85	4.88	2.30	1.84	4.07	23.71	4.58	4.39	7.71
BL13649	Hypp14978	0.03	0.02	0.50	0.83	0.15	40.63	11.17	33.62	1.03	0.85	0.62	0.17	0.38	7.99	0.68	3.43	6.40
BL13650	FARSB	69.43	27.48	8.19	18.00	30.71	13.78	14.41	14.19	10.93	16.05	40.58	21.43	6.51	19.75	7.53	14.51	6.44
BL13651	ITLN2	0.00	0.00	0.05	0.10	0.06	21.33	0.00	0.00	0.76	0.00	4.71	0.94	8.52	0.72	0.75	0.00	0.61
BL13653	ITLN2	0.00	0.00	0.03	0.02	0.00	19.99	0.10	0.08	0.07	0.00	8.56	6.21	9.16	2.54	1.88	0.15	0.20
BL13654	PDE6D	0.98	33.31	13.25	66.26	52.31	27.41	21.27	14.50	14.76	33.98	45.63	25.94	20.11	18.11	8.76	21.57	19.45
BL13655	SDHB	0.46	20.33	17.22	40.60	82.65	321.87	168.55	146.50	383.65	285.16	174.50	83.21	84.47	906.53	253.78	232.47	143.12
BL13656	ENSG00000259371	0.00	5.15	2.35	2.46	50.09	1.66	5.51	1.24	0.56	0.00	3.14	3.18	1.63	18.24	1.22	3.23	8.63
BL13658	TRIM2	0.00	0.00	2.64	0.00	0.00	8.38	86.84	54.53	0.00	10.33	3.53	4.30	8.23	4.40	4.10	14.51	0.00
BL13659	TTC22	0.04	0.01	15.47	43.62	56.71	6.13	54.81	51.67	0.16	1.99	0.38	0.10	0.49	0.82	1.40	0.30	1.50
BL13660	MUSK	0.43	0.35	0.25	0.46	2.55	12.55	13.92	0.31	1.91	2.48	0.54	0.24	1.01	2.99	7.14	8.81	10.18
BL13661	PNKP	9.80	16.69	5.50	4.70	3.75	1.63	4.06	3.70	5.04	0.36	4.13	7.75	18.03	9.83	3.23	1.02	0.73
BL13662	CALR	31.02	53.79	123.79	356.49	610.88	79.36	136.41	71.93	34.36	134.75	159.54	102.18	49.71	30.74	68.35	64.15	92.31
BL13664	LRRC4	0.00	0.00	0.00	0.00	0.17	2.25	5.61	0.02	0.18	13.57	0.13	0.53	0.32	0.15	1.63	0.18	0.26
BL13667	PFN4	15.04	0.56	3.28	15.31	44.55	5.18	43.09	9.76	2.69	24.43	9.34	4.34	4.32	15.00	5.10	0.95	2.02
BL13668	NLGN4X	0.22	0.20	0.55	0.11	266.49	560.00	14.63	10.70	189.33	83.40	318.18	1242.52	2311.72	623.48	1452.15	14.43	137.26
BL13675	LRRC70	0.01	0.06	0.09	0.04	0.05	18.34	18.90	0.34	0.26	1.37	0.33	0.13	1.36	1.22	28.33	0.89	2.93
BL13676	TGFBI	3.06	3.74	6.32	2.73	5.11	5.96	8.97	4.29	7.26	11.09	5.51	3.17	4.55	10.68	4.81	12.22	11.18
BL13677	KLHDC5	0.09	0.03	0.98	0.12	0.62	11.73	2.16	0.04	1.90	0.09	0.28	0.04	0.19	1.54	12.81	2.47	1.10
BL13678	Hypp10288	0.00	0.00	0.07	0.03	0.02	0.00	0.09	0.02	0.19	0.46	0.00	0.00	0.02	111.84	0.00	0.02	0.00
BL13679	NCAPG2	1.84	8.15	2.94	4.17	4.21	1.17	2.23	8.27	13.49	2.57	1.82	2.29	4.08	16.79	4.62	0.61	0.28
BL13681	SCNM1	9.60	9.92	4.04	7.15	6.39	11.67	13.90	10.32	6.99	20.46	6.55	5.31	5.62	22.90	10.21	12.21	17.14
BL13688	GMDS	0.00	0.00	0.00	0.00	0.00	0.00	26.47	0.00	0.00	0.03	0.02	0.00	0.06	0.02	0.00	0.03	0.56
BL13689	LRP4	0.00	0.00	0.00	0.00	0.00	0.00	1.84	2.80	0.00	0.00	0.00	0.00	0.08	0.00	0.23	0.00	0.00
BL13690	SLC5A7	0.25	0.90	0.54	1.57	3.48	15.34	8.40	10.49	0.87	1.76	4.12	2.76	3.49	1.85	2.75	2.23	2.47
BL13691	KIAA1731	31.47	13.23	4.56	3.31	3.31	1.20	2.85	0.95	6.85	2.46	1.95	1.51	1.05	6.43	1.18	1.32	1.86
BL13695	KBTBD11	0.05	0.29	0.42	0.11	0.22	1.37	1.18	0.07	0.12	0.24	0.21	0.14	0.20	0.26	5.16	0.58	1.30
BL13698	CNOT7	76.71	339.15	153.81	78.95	59.90	23.85	20.18	23.73	28.34	25.33	27.76	16.53	10.54	27.55	12.41	13.26	9.39
BL13700	CA10	1.71	0.70	0.23	0.04	0.81	16.31	5.83	9.34	3.55	0.81	0.08	0.17	0.36	4.45	0.60	128.48	32.73
BL13701	AASDHPPT	4.68	15.00	6.24	4.24	8.04	2.74	13.94	6.06	4.91	10.17	4.36	3.26	3.23	7.23	4.99	6.45	4.63
BL13702	UGT2B7	0.10	0.17	0.65	1.37	0.29	0.54	1.75	0.44	0.73	0.82	3.49	7.19	6.62	1.94	1.95	0.13	0.88
BL13703	ALS2CR4	60.60	35.46	12.01	9.47	15.55	11.48	26.59	19.98	12.68	26.82	18.90	10.28	8.48	49.34	12.25	22.50	26.83
BL13704	SPG20	0.68	0.36	1.51	0.71	7.90	10.09	9.67	9.96	8.48	8.13	11.57	8.14	9.32	10.65	9.09	8.90	12.18
BL13705	GNG7	191.91	14.37	44.15	90.87	144.46	88.57	42.11	34.85	22.24	88.08	44.24	33.25	33.64	21.39	43.95	178.78	110.14
BL13706	VWA3B	6.23	3.96	4.30	18.99	9.90	12.70	6.67	0.99	1.23	8.43	12.50	5.20	5.16	4.25	0.90	1.40	3.61
BL13707	ENSG00000268501	3.37	7.81	2.20	5.19	10.11	8.96	12.82	101.67	14.77	11.56	13.74	12.71	22.54	20.51	12.09	12.94	19.48
BL13709	SDR39U1	3.06	11.68	6.18	4.67	13.16	17.42	7.64	8.14	41.44	19.08	12.23	4.82	3.47	28.90	21.83	12.22	6.42
BL13710	WDR88	19.90	9.87	1.40	2.67	8.36	8.19	10.72	4.69	4.99	28.21	5.85	9.06	5.71	43.56	4.05	4.97	6.18
BL13711	MARCH6	4.51	43.65	12.65	6.90	23.51	22.75	21.24	20.51	12.65	32.16	28.22	26.65	20.36	97.90	26.25	63.41	38.79
BL13712	ANKRD57	10.60	15.52	3.65	7.65	22.28	14.52	41.92	35.65	9.48	9.89	13.69	13.22	14.02	13.56	14.78	18.51	39.52
BL13714	WDR89	14.94	1.45	7.51	2.09	3.30	2.52	3.84	2.68	3.45	7.12	11.30	3.51	3.70	11.81	2.39	3.46	4.16
BL13715	PPP1R3D	0.00	0.01	0.89	0.08	0.53	83.55	110.60	70.74	3.31	90.93	118.80	26.45	1.53	37.38	175.49	300.69	36.02
BL13718	PDE11A	0.02	0.06	0.19	0.08	0.17	11.01	0.34	0.07	0.19	4.59	0.01	0.32	0.04	0.35	0.14	26.08	11.53
BL13719	PROX1	8.39	14.06	17.54	54.98	73.96	60.55	32.34	29.32	10.33	32.50	34.95	23.89	20.59	41.20	13.65	26.41	35.72
BL13720	Hypp1348	2.84	3.47	0.51	0.30	0.22	1.56	1.16	0.36	0.00	1.89	0.53	0.28	1.36	0.00	2.74	0.62	0.00
BL13721	USP20	3.85	39.51	6.10	10.65	12.69	8.59	6.10	7.15	7.96	7.67	8.94	3.45	3.79	6.76	4.73	9.83	4.79
BL13723	AGRN	2.42	0.12	0.31	0.16	1.00	3.67	2.44	0.50	0.99	0.41	1.84	1.59	2.79	0.67	0.24	2.70	1.83
BL13726	CPNE5	1.75	50.49	12.89	6.60	5.36	3.91	13.73	3.76	1.66	13.85	1.20	0.57	0.75	1.98	2.52	4.99	2.64
BL13727	ZNF335	8.03	8.15	14.74	5.57	3.34	1.31	3.02	1.67	3.26	3.07	1.40	1.44	1.42	4.71	1.01	2.09	1.96
BL13730	C20orf103	0.64	5.74	3.24	1.20	1.34	46.75	0.79	0.42	0.37	1.43	0.24	0.25	0.29	0.52	1.49	129.38	47.24
BL13731	MCPH1	142.12	26.36	14.35	7.52	5.47	0.51	1.31	2.08	4.65	0.42	3.25	2.39	2.50	8.35	0.62	1.06	0.82
BL13732	ASCL1	0.00	0.05	0.20	19.12	4.66	0.56	2.43	3.60	0.08	0.31	0.04	0.73	0.39	0.07	0.33	0.15	0.21
BL13734	IGF1	0.00	0.00	1.33	0.08	4.40	16.63	23.71	0.98	1.69	17.34	104.13	24.41	39.69	8.36	99.10	0.62	3.60
BL13736	FBXO3	39.69	12.69	1.94	2.08	3.04	1.54	4.73	3.22	11.48	2.82	1.27	1.32	1.53	2.25	3.56	3.00	3.20
BL13737	Hypp1784	0.01	0.05	0.01	0.00	0.11	5.65	0.32	0.01	0.03	3.82	0.01	0.07	0.07	0.20	0.02	1.39	0.86
BL13741	ENSG00000262505	0.08	0.02	4.03	6.19	2.10	13.07	0.49	3.03	0.24	9.84	0.04	0.11	0.18	0.50	2.71	0.60	1.38
BL13743	ABHD8	0.43	3.83	3.37	3.04	7.23	9.49	8.75	2.87	1.78	8.05	2.17	1.78	3.65	3.28	1.35	3.98	8.38
BL13745	THOP1	12.90	17.96	5.24	5.46	16.02	7.49	10.31	7.95	13.34	11.18	21.07	6.62	5.93	13.78	13.21	11.46	9.45
BL13747	SSTR2	0.00	0.06	0.26	0.00	0.84	1.11	0.12	0.04	0.02	0.02	0.10	0.93	0.24	0.08	0.10	3.72	2.65
BL13748	TMC7	39.71	11.88	17.89	20.37	15.17	20.92	13.43	7.87	3.32	44.02	36.33	33.89	21.61	12.62	9.29	1.92	4.19
BL13749	Hypp10957	0.17	1.54	1.12	103.03	93.02	8.37	1.22	0.15	0.67	38.02	1.03	0.74	0.61	1.07	1.44	0.22	1.14
BL13750	HIST1H2BL	0.41	0.02	5.52	1.48	3.31	4.79	11.07	1.91	4.85	10.51	5.11	10.75	5.66	43.04	6.12	6.66	5.14
BL13752	Hypp10920	0.00	0.00	0.71	0.01	0.26	0.16	0.00	0.00	0.18	0.00	0.04	0.21	0.85	0.13	0.02	1.40	0.19
BL13757	FBN1	0.09	0.14	0.21	0.09	0.19	0.15	6.27	0.40	2.61	95.72	6.25	5.23	4.52	4.52	35.55	0.90	2.09
BL13758	Hypp15051	0.00	0.00	2.11	0.00	0.00	2.23	3.31	0.00	0.00	0.00	5.65	0.00	10.98	0.00	0.00	0.00	0.00
BL13759	KPNA6	16.59	7.15	6.40	17.81	8.96	8.26	9.14	6.91	12.10	13.35	5.72	4.34	5.60	9.52	1.87	7.35	5.08
BL13760	Hypp15053	0.00	0.00	0.00	0.01	0.06	0.40	0.75	0.87	0.12	0.30	0.17	0.68	0.02	0.46	0.12	3.46	0.95
BL13761	PFKM	5.82	1.45	2.07	1.52	1.52	12.04	7.51	9.57	10.35	4.91	11.16	3.12	2.81	12.44	8.30	54.06	10.47
BL13762	NAPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BL13764	CAPRIN2	0.34	0.43	2.53	6.64	5.76	3.44	0.22	0.04	1.68	0.09	0.00	0.02	0.01	0.85	0.22	5.23	4.36
BL13766	ITLN2	0.04	0.02	1.76	1.81	0.48	1.82	26.91	3.15	1.18	64.49	2.59	0.98	1.09	1.29	3.50	2.49	8.51
BL13767	ASF1A	6.34	30.25	13.45	7.37	10.27	6.49	17.94	49.56	45.89	8.60	11.04	5.25	4.22	23.35	4.63	8.73	5.13
BL13768	Hypp13871	0.00	0.23	79.76	27.75	36.66	1.34	31.46	58.48	0.09	1.29	0.28	0.04	0.07	0.48	1.16	0.13	1.22
BL13769	ENSG00000265823	1.01	2.01	1.07	1.25	1.15	1.63	0.81	8.99	2.04	2.09	1.61	1.11	1.19	0.87	3.81	1.31	1.71
BL13771	HPCAL1	0.04	0.05	134.04	521.26	19.35	15.69	18.44	3.30	0.80	2.03	0.81	0.26	0.93	1.49	2.62	30.71	11.76
BL13774	KIAA1919	0.00	0.00	0.39	3.86	0.03	0.00	0.20	3.50	0.24	0.04	0.00	0.42	0.18	0.11	0.56	0.06	0.13
BL13775	DRAM1	3.46	2.30	2.40	0.26	1.58	11.60	8.96	11.28	3.25	18.35	23.18	80.86	32.95	7.18	4.08	4.18	2.67
BL13776	TATDN3	19.46	0.19	1.85	1.16	3.42	5.73	17.31	15.28	15.15	14.68	2.58	4.17	9.13	21.95	15.71	31.03	23.60
BL13777	PC	0.86	3.81	2.97	3.21	11.17	14.40	12.40	24.87	7.00	4.87	26.05	29.61	10.61	13.38	15.28	112.10	36.60
BL13782	Hypp5755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BL13783	Hypp5739	0.19	0.06	0.19	0.04	0.02	62.62	307.46	0.08	0.17	0.17	0.14	0.00	0.22	0.96	8.27	0.82	2.94
BL13784	SVEP1	0.00	0.00	0.42	0.09	0.14	0.30	0.08	0.01	3.27	1.32	0.02	0.03	0.00	87.74	0.15	0.36	0.07
BL13785	Hypp12877	319.73	5.04	4.04	0.32	7.36	13.31	3.87	6.79	14.32	2.22	4.32	2.74	0.95	3.92	1.03	0.26	0.33
BL13786	OVOL1	1.96	10.43	206.32	127.52	35.15	4.20	29.73	24.53	6.13	4.70	0.65	0.58	0.40	2.33	2.06	0.44	1.43
BL13788	TRIM3	0.14	0.10	0.39	0.38	0.22	0.19	6.11	9.40	0.13	0.48	0.19	0.12	0.07	0.20	0.63	0.24	0.31
BL13789	GTF3C4	0.44	15.07	0.85	1.65	1.11	2.53	2.46	2.12	12.94	4.00	3.34	1.49	0.89	25.86	2.06	2.33	1.35
BL13790	YME1L1	3.94	2.59	1.49	0.50	9.12	17.05	12.33	13.89	1.59	23.06	65.30	15.97	5.84	11.25	5.95	15.62	9.56
BL13791	CCDC12	184.73	58.51	42.84	74.35	38.98	18.68	25.28	26.43	48.82	22.74	28.86	17.72	12.93	47.14	16.37	19.21	30.01
BL13792	DYRK2	7.31	17.29	168.60	111.08	61.03	65.12	20.64	7.76	3.94	90.83	32.81	24.33	22.87	76.02	12.88	13.67	16.73
BL13794	GPR37	0.04	0.00	0.00	0.03	0.16	4.72	0.83	0.34	0.13	0.59	0.02	0.01	0.14	0.40	0.24	11.32	4.80
BL13795	SRR	1.57	0.64	0.59	0.05	1.33	1.98	5.54	3.23	0.31	10.10	5.00	8.04	6.46	2.19	1.34	2.31	2.03
BL13796	KLHL24	0.00	0.00	0.11	0.12	1.16	0.61	4.40	8.57	0.00	0.00	0.00	0.00	0.00	0.29	0.45	0.55	0.00
BL13797	Hypp459	0.22	49.16	59.75	14.67	9.96	1.66	4.33	5.24	11.37	2.33	2.75	2.42	1.65	9.63	3.05	3.01	2.11
BL13798	UBA3	0.73	12.76	2.22	5.03	12.75	9.44	14.19	17.36	24.23	15.16	14.72	8.80	5.85	19.73	13.14	11.72	11.27
BL13799	WDSUB1	0.00	0.03	0.13	0.55	0.12	3.61	0.28	0.02	0.10	12.65	0.04	0.18	0.01	0.68	0.08	0.02	0.87
BL13801	HSPE1	57.12	91.97	154.29	181.13	103.30	86.58	18.17	31.04	197.76	45.15	111.73	44.47	20.19	53.21	51.41	38.60	32.37
BL13805	Hypp12108	0.92	0.68	0.50	0.13	0.27	4.41	2.45	2.47	0.25	2.48	0.02	0.00	0.01	0.58	0.14	19.08	5.90
BL13807	Hypp12097	0.00	0.22	0.13	0.04	0.23	0.32	2.68	0.22	0.24	7.07	0.23	2.85	0.06	1.04	0.08	0.39	1.32
BL13808	HMCN1	0.00	0.00	0.00	0.00	1.17	3.14	0.43	0.19	0.31	0.12	0.00	0.01	0.01	1.11	0.16	27.00	9.78
BL13813	HMBOX1	21.18	59.58	52.21	41.01	14.04	4.74	6.16	4.56	7.04	6.50	3.14	3.10	2.54	5.67	2.40	5.90	6.55
BL13815	SORD	8.92	4.26	1.47	0.77	1.33	6.36	4.02	5.24	2.89	0.78	1.19	8.08	9.48	3.00	2.16	2.83	1.83
BL13818	LRRK2	6.14	8.73	0.09	0.88	0.83	1.19	2.20	0.00	0.53	0.00	0.13	3.19	7.67	4.51	0.00	3.08	3.09
BL13819	TTC28	0.06	0.02	4.35	0.03	0.05	0.04	0.96	0.42	0.21	0.08	0.63	1.20	3.61	0.27	0.47	0.35	0.67
BL13820	SOD1	0.65	0.08	0.53	0.53	0.16	1.13	68.48	97.98	1.16	1.87	3.63	0.28	4.58	7.94	4.52	0.56	3.86
BL13821	ALAS1	0.97	3.86	7.91	34.13	97.32	76.91	59.35	69.76	25.53	69.45	176.36	97.45	55.89	43.40	37.34	75.38	31.91
BL13822	Hypp2852	2.91	5.31	2.94	3.62	2.14	1.33	1.76	1.40	3.34	6.26	2.21	0.94	1.03	5.24	2.07	1.13	1.36
BL13824	VPS54	23.29	6.26	1.13	2.47	3.67	4.55	5.26	3.78	4.30	7.08	7.25	4.34	4.75	8.52	1.87	3.80	3.84
BL13826	PRDX5	75.06	19.83	24.42	1.79	11.70	60.99	61.21	22.55	15.54	119.96	379.79	666.59	384.06	43.08	220.18	98.85	77.52
BL13827	Hypp10528	0.00	0.00	0.00	0.19	7.49	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BL13828	C1orf57	18.85	36.55	12.03	9.77	7.16	6.24	4.07	2.78	8.94	11.23	5.47	3.90	5.55	8.07	4.89	3.20	3.50
BL13829	Hypp13070	0.21	0.09	0.02	0.00	0.03	6.98	0.00	0.00	0.36	0.01	0.07	0.00	0.01	0.01	0.11	8.71	3.84
BL13830	ANKRD40	1.16	10.65	7.14	4.99	5.80	3.57	8.26	7.59	7.41	5.68	2.16	1.77	3.86	7.20	3.22	9.21	5.97
BL13831	Hypp13059	0.00	0.00	0.01	0.00	0.00	0.23	0.74	0.06	0.01	0.05	0.02	0.02	0.01	0.05	0.07	0.03	0.29
BL13832	Hypp13062	0.00	0.00	0.01	0.04	1.90	21.24	0.02	0.00	0.03	0.01	0.01	0.00	0.00	0.09	0.02	87.16	30.08
BL13833	APOD	0.00	0.16	0.17	0.02	1.31	198.55	0.19	0.14	1.71	0.24	0.00	3.73	0.74	1.21	0.09	0.00	0.00
BL13835	ENSG00000262243	0.05	0.58	1.04	0.43	2.09	6.77	13.60	4.96	2.69	17.36	50.70	22.72	18.47	4.39	8.32	1.51	1.80
BL13837	MED18	0.65	31.51	9.55	14.00	8.32	4.98	8.66	13.30	41.23	7.04	4.39	3.33	4.53	13.31	5.84	14.86	13.42
BL13841	Hypp2221	0.00	0.00	0.01	0.00	0.00	0.00	0.27	0.00	0.17	0.31	0.47	0.12	0.00	8.38	0.16	0.28	0.00
BL13842	NOS1	0.30	0.37	0.12	0.00	0.02	0.03	1.13	0.03	0.11	0.75	4.47	0.53	0.07	0.40	0.18	0.03	0.03
BL13844	PHRF1	3.51	84.87	50.07	44.53	22.80	7.31	9.19	8.53	19.17	11.22	7.43	3.71	5.54	14.97	6.80	7.70	23.68
BL13845	AMBRA1	0.54	10.70	6.12	11.55	9.83	6.08	8.01	5.76	9.07	10.06	5.40	3.36	4.97	6.85	3.34	6.26	6.10
BL13846	BMP1	0.00	0.00	0.01	0.04	0.00	24.53	0.03	0.00	0.47	0.00	11.43	0.02	0.00	0.59	0.11	0.07	0.00
BL13848	SFRP2	0.31	0.51	3.95	3.74	3.99	5.88	19.69	1.30	8.16	20.09	15.43	9.05	9.35	15.17	11.33	32.55	8.76
BL13849	Hypp5483	0.01	0.00	0.15	0.18	0.02	0.11	0.38	0.37	0.15	18.05	0.24	0.45	0.58	0.40	0.35	0.19	0.40
BL13851	NAT1	0.10	0.78	0.13	0.03	0.38	1.99	0.24	0.00	0.63	0.76	2.60	4.43	4.34	1.03	0.58	0.54	0.79
BL13852	ENSG00000260314	0.03	0.15	0.30	0.24	0.18	0.21	0.60	1.30	0.30	14.71	0.18	0.52	0.15	0.60	0.63	0.54	0.56
BL13853	SFRS13B	186.63	213.24	552.38	530.55	147.81	94.25	96.17	75.74	36.71	176.86	76.17	65.30	31.45	99.01	46.71	81.95	90.51
BL13855	C19orf54	7.11	4.01	3.21	4.01	9.30	9.14	9.73	11.08	2.94	4.68	2.30	3.09	5.23	5.11	28.15	36.75	98.81
BL13857	TMEM151B	0.00	0.00	0.12	0.04	0.79	5.18	0.91	1.22	0.13	0.17	0.03	0.04	0.11	0.72	1.81	41.54	15.12
BL13859	C14orf102	31.25	12.46	4.11	11.33	30.70	16.64	25.76	24.16	8.96	27.68	35.27	42.38	33.31	20.00	24.53	17.52	12.99
BL13861	TBC1D19	0.03	31.87	2.04	4.34	9.72	4.24	5.63	3.87	11.52	11.94	6.50	3.96	4.41	17.35	4.51	4.47	4.55
BL13862	Hypp5233	0.09	0.79	1.40	7.90	3.89	24.08	1.13	0.74	0.32	68.83	0.47	0.75	2.10	1.83	1.12	0.56	2.47
BL13863	KLHL28	12.02	1.81	2.45	3.64	7.10	6.17	9.36	9.17	5.45	8.88	4.93	5.36	7.05	9.53	3.54	5.18	4.19
BL13864	Hypp5232	0.35	0.11	0.05	0.00	0.00	0.62	0.22	1.63	1.76	1.17	0.91	2.23	1.03	175.57	2.11	1.73	0.57
BL13865	Hypp434	0.07	0.11	0.07	0.02	0.30	2.56	0.10	0.11	0.04	3.13	0.08	0.26	0.07	3.19	0.06	0.09	0.12
BL13866	TUBA3C	0.34	0.09	0.35	1.69	15.03	20.65	4.98	1.25	2.69	225.90	18.18	4.09	2.69	6.28	5.19	19.42	72.51
BL13869	Hypp437	0.33	1.18	5.19	24.61	8.31	4.82	3.02	1.86	2.52	17.06	4.61	2.56	1.57	11.24	1.77	0.68	1.30
BL13870	Hypp432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BL13872	CHAT	0.00	0.01	0.12	0.01	1.23	6.55	0.00	0.00	0.13	0.01	0.02	0.00	0.00	0.20	0.02	24.97	8.63
BL13875	PIK3AP1	5.28	1.26	1.16	0.25	3.31	4.58	11.45	4.43	1.77	3.85	11.32	7.42	8.37	1.90	1.29	1.10	1.63
BL13877	TM9SF3	65.28	23.12	38.58	31.21	33.84	55.28	56.88	46.98	29.43	36.24	64.61	35.48	36.94	34.81	17.28	74.63	52.86
BL13878	EIF2B3	2.65	3.77	15.74	11.96	14.01	8.11	12.72	20.32	48.43	9.53	11.41	10.72	8.10	19.27	15.00	11.79	8.50
BL13879	PHB	21.88	33.69	28.64	62.18	56.40	46.95	42.89	47.07	134.88	57.04	110.92	47.32	29.06	83.29	79.28	43.30	40.73
BL13880	MAD2L1	2.90	35.36	98.98	4.74	4.55	0.92	2.29	3.02	28.35	4.04	1.32	1.25	1.26	16.32	2.21	4.68	1.81
BL13881	EXO1	128.48	80.64	12.40	8.47	6.31	0.83	1.27	0.52	23.29	1.67	0.74	1.03	0.65	18.99	1.83	0.97	0.65
BL13882	GTF2H4	0.38	6.25	3.09	5.95	3.63	2.96	4.99	5.23	14.98	13.91	4.31	2.88	2.92	10.53	3.98	3.42	4.71
BL13884	ANKRD5	0.05	0.15	3.31	46.55	13.00	9.20	1.48	0.41	1.05	6.39	10.40	3.66	3.64	2.27	0.68	0.86	1.60
BL13885	C1orf95	0.06	0.00	0.35	0.23	12.24	28.22	30.50	9.46	0.62	1.53	0.58	0.16	0.24	2.69	49.11	444.35	223.83
BL13886	RRP15	0.92	22.82	19.13	39.79	18.34	6.82	6.15	13.03	28.52	6.56	25.24	9.04	4.12	10.98	5.24	6.71	3.64
BL13887	C3orf78	60.50	20.09	25.25	13.97	17.37	32.08	17.88	29.75	43.48	25.79	20.63	12.82	10.98	124.34	21.82	30.05	18.17
BL13889	TRERF1	1.43	4.10	1.22	8.51	10.12	10.05	21.80	22.16	4.16	36.41	8.41	5.68	5.92	27.08	9.70	8.60	15.90
BL13890	MX2	0.00	0.00	0.75	0.60	0.03	1.45	1.26	0.44	0.14	2.92	16.13	13.46	0.82	0.56	0.58	1.40	4.05
BL13891	ZNF492	0.31	0.03	3.46	0.66	0.12	0.02	0.00	0.00	0.36	0.00	0.06	0.00	0.02	2.74	0.00	0.03	0.00
BL13892	SETD3	0.06	10.51	3.46	14.74	10.81	6.19	10.40	8.29	7.05	6.35	4.58	2.98	4.06	11.22	7.26	22.08	16.12
BL13893	CASK	12.87	43.22	31.94	56.81	113.42	37.23	75.94	55.70	38.91	36.72	16.70	12.78	25.74	58.24	60.90	111.58	170.82
BL13894	TPP2	85.63	45.83	45.02	24.05	29.72	5.70	10.20	8.07	6.62	4.28	12.34	7.44	4.67	5.70	4.74	4.19	4.41
BL13895	STAG1	17.71	86.72	40.48	25.54	30.46	9.39	9.88	8.37	37.54	13.32	9.47	5.00	5.76	88.17	3.74	3.99	5.09
BL13896	TFDP2	19.98	28.96	55.01	108.58	61.20	20.18	33.37	31.46	9.99	30.54	28.48	22.97	21.90	46.49	15.90	13.41	18.25
BL13899	HSD3B7	0.08	0.02	0.19	0.13	12.27	43.43	7.60	6.17	0.54	1.55	84.43	31.72	7.18	3.00	1.80	12.49	3.83
BL13900	TGFB2	0.00	0.00	0.03	0.00	0.40	32.10	30.19	1.20	6.90	11.53	2.21	3.47	7.50	5.87	9.92	0.09	0.29
